Date,Product,Category,Region,Sales,Profit,Units
2024-01-05,Wireless Headphones,Electronics,North,1250.00,312.50,5
2024-01-12,Office Chair,Furniture,East,890.00,178.00,2
2024-01-18,Running Shoes,Apparel,West,460.00,138.00,4
2024-01-25,Smart Watch,Electronics,South,3200.00,960.00,8
2024-02-03,Desk Lamp,Furniture,North,175.00,52.50,7
2024-02-11,Yoga Mat,Apparel,West,220.00,88.00,10
2024-02-19,Bluetooth Speaker,Electronics,East,540.00,162.00,6
2024-02-27,Standing Desk,Furniture,South,1800.00,360.00,3
2024-03-06,Laptop Backpack,Apparel,North,310.00,93.00,9
2024-03-14,Noise-Cancel Earbuds,Electronics,West,980.00,294.00,7
